Well_ID,Well,CV:595,OD595,Strain,Condition
SPL1,E3,1.944,1.747,P.k_WT,TSB
SPL1,E4,2.134,1.937,P.k_WT,TSB
SPL1,E5,1.738,1.541,P.k_WT,TSB
SPL1,E6,1.78,1.583,P.k_WT,TSB
SPL1,E7,2.111,1.914,P.k_WT,TSB
SPL4,E8,1.6,1.403,P9G4,TSB
SPL4,E9,1.811,1.614,P9G4,TSB
SPL4,E10,1.765,1.567,P9G4,TSB
SPL4,E11,1.695,1.498,P9G4,TSB
SPL4,E12,1.831,1.634,P9G4,TSB
SPL2,F3,2.308,2.111,P8G4,TSB
SPL2,F4,1.91,1.712,P8G4,TSB
SPL2,F5,1.816,1.618,P8G4,TSB
SPL2,F6,1.916,1.719,P8G4,TSB
SPL2,F7,2.464,2.267,P8G4,TSB
SPL3,F8,1.983,1.786,P8A10,TSB
SPL3,F9,2.053,1.856,P8A10,TSB
SPL3,F10,1.98,1.782,P8A10,TSB
SPL3,F11,2.146,1.948,P8A10,TSB
SPL3,F12,2.063,1.866,P8A10,TSB
SPL6,G3,1.853,1.655,P12C2,TSB
SPL6,G4,1.454,1.256,P12C2,TSB
SPL6,G5,1.417,1.22,P12C2,TSB
SPL6,G6,1.885,1.688,P12C2,TSB
SPL6,G7,1.563,1.366,P12C2,TSB
SPL5,G8,1.718,1.521,P11A3,TSB
SPL5,G9,1.275,1.078,P11A3,TSB
SPL5,G10,1.795,1.598,P11A3,TSB
SPL5,G11,1.937,1.74,P11A3,TSB
SPL5,G12,1.973,1.775,P11A3,TSB
SPLC1,A3,0.317,0.119,P.k_WT,ZmA
SPLC1,A4,0.357,0.16,P.k_WT,ZmA
SPLC1,A5,0.396,0.199,P.k_WT,ZmA
SPLC1,A6,0.545,0.348,P.k_WT,ZmA
SPLC1,A7,0.543,0.346,P.k_WT,ZmA
SPLC4,A8,0.918,0.721,P9G4,ZmA
SPLC4,A9,0.85,0.652,P9G4,ZmA
SPLC4,A10,0.788,0.591,P9G4,ZmA
SPLC4,A11,0.8,0.603,P9G4,ZmA
SPLC4,A12,0.939,0.742,P9G4,ZmA
SPLC2,B3,0.415,0.218,P8G4,ZmA
SPLC2,B4,0.486,0.289,P8G4,ZmA
SPLC2,B5,0.371,0.174,P8G4,ZmA
SPLC2,B6,0.474,0.276,P8G4,ZmA
SPLC2,B7,0.584,0.387,P8G4,ZmA
SPLC3,B8,1.511,1.314,P8A10,ZmA
SPLC3,B9,1.433,1.236,P8A10,ZmA
SPLC3,B10,1.501,1.304,P8A10,ZmA
SPLC3,B11,1.435,1.238,P8A10,ZmA
SPLC3,B12,1.423,1.225,P8A10,ZmA
SPLC6,C3,0.52,0.323,P12C2,ZmA
SPLC6,C4,0.383,0.185,P12C2,ZmA
SPLC6,C5,0.499,0.302,P12C2,ZmA
SPLC6,C6,0.38,0.183,P12C2,ZmA
SPLC6,C7,0.371,0.174,P12C2,ZmA
SPLC5,C8,0.504,0.307,P11A3,ZmA
SPLC5,C9,0.557,0.36,P11A3,ZmA
SPLC5,C10,0.663,0.466,P11A3,ZmA
SPLC5,C11,0.622,0.424,P11A3,ZmA
SPLC5,C12,0.432,0.235,P11A3,ZmA
SPL1,E3,2.066,1.871,P.k_WT,TSB
SPL1,E4,2.045,1.85,P.k_WT,TSB
SPL1,E5,1.967,1.772,P.k_WT,TSB
SPL1,E6,1.921,1.726,P.k_WT,TSB
SPL1,E7,1.607,1.412,P.k_WT,TSB
SPL2,E8,1.883,1.687,P8G4,TSB
SPL2,E9,2.032,1.836,P8G4,TSB
SPL2,E10,1.944,1.749,P8G4,TSB
SPL2,E11,1.887,1.692,P8G4,TSB
SPL2,E12,1.934,1.739,P8G4,TSB
SPL3,F3,1.968,1.772,P8A10,TSB
SPL3,F4,2.132,1.936,P8A10,TSB
SPL3,F5,2.223,2.028,P8A10,TSB
SPL3,F6,2.308,2.112,P8A10,TSB
SPL3,F7,2.093,1.897,P8A10,TSB
SPL4,F8,1.468,1.272,P9G4,TSB
SPL4,F9,1.595,1.399,P9G4,TSB
SPL4,F10,1.663,1.467,P9G4,TSB
SPL4,F11,1.645,1.45,P9G4,TSB
SPL4,F12,1.514,1.319,P9G4,TSB
SPL5,G3,1.58,1.384,P11A3,TSB
SPL5,G4,1.349,1.154,P11A3,TSB
SPL5,G5,2.067,1.872,P11A3,TSB
SPL5,G6,2.081,1.885,P11A3,TSB
SPL5,G7,2.233,2.037,P11A3,TSB
SPL6,G8,1.868,1.672,P12C2,TSB
SPL6,G9,1.786,1.59,P12C2,TSB
SPL6,G10,1.989,1.794,P12C2,TSB
SPL6,G11,2.191,1.995,P12C2,TSB
SPL6,G12,1.882,1.687,P12C2,TSB
SPLC1,A3,0.497,0.302,P.k_WT,ZmA
SPLC1,A4,0.495,0.299,P.k_WT,ZmA
SPLC1,A5,0.357,0.162,P.k_WT,ZmA
SPLC1,A6,0.533,0.338,P.k_WT,ZmA
SPLC1,A7,0.477,0.282,P.k_WT,ZmA
SPLC2,A8,0.535,0.339,P8G4,ZmA
SPLC2,A9,0.536,0.34,P8G4,ZmA
SPLC2,A10,0.634,0.438,P8G4,ZmA
SPLC2,A11,0.637,0.441,P8G4,ZmA
SPLC2,A12,0.617,0.422,P8G4,ZmA
SPLC3,B3,1.53,1.334,P8A10,ZmA
SPLC3,B4,1.32,1.124,P8A10,ZmA
SPLC3,B5,1.389,1.193,P8A10,ZmA
SPLC3,B6,1.433,1.237,P8A10,ZmA
SPLC3,B7,1.392,1.197,P8A10,ZmA
SPLC4,B8,0.821,0.626,P9G4,ZmA
SPLC4,B9,0.365,0.169,P9G4,ZmA
SPLC4,B10,0.828,0.633,P9G4,ZmA
SPLC4,B11,0.81,0.615,P9G4,ZmA
SPLC4,B12,0.694,0.499,P9G4,ZmA
SPLC5,C3,0.535,0.34,P11A3,ZmA
SPLC5,C4,0.572,0.376,P11A3,ZmA
SPLC5,C5,0.618,0.422,P11A3,ZmA
SPLC5,C6,0.553,0.358,P11A3,ZmA
SPLC5,C7,0.513,0.317,P11A3,ZmA
SPLC6,C8,0.61,0.414,P12C2,ZmA
SPLC6,C9,0.663,0.468,P12C2,ZmA
SPLC6,C10,0.646,0.451,P12C2,ZmA
SPLC6,C11,0.566,0.37,P12C2,ZmA
SPLC6,C12,0.659,0.463,P12C2,ZmA
SPL1,E3,1.824,1.642,P.k_WT,TSB
SPL1,E4,1.741,1.559,P.k_WT,TSB
SPL1,E5,1.688,1.506,P.k_WT,TSB
SPL1,E6,2.013,1.831,P.k_WT,TSB
SPL1,E7,2.326,2.144,P.k_WT,TSB
SPL2,E8,2.013,1.831,P8G4,TSB
SPL2,E9,2.197,2.015,P8G4,TSB
SPL2,E10,2.25,2.067,P8G4,TSB
SPL2,E11,2.295,2.113,P8G4,TSB
SPL2,E12,1.896,1.714,P8G4,TSB
SPL3,F3,1.319,1.137,P8A10,TSB
SPL3,F4,1.199,1.017,P8A10,TSB
SPL3,F5,1.315,1.133,P8A10,TSB
SPL3,F6,1.291,1.109,P8A10,TSB
SPL3,F7,1.236,1.054,P8A10,TSB
SPL4,F8,0.244,0.062,P9G4,TSB
SPL4,F9,1.002,0.82,P9G4,TSB
SPL4,F10,1.013,0.831,P9G4,TSB
SPL4,F11,1.151,0.969,P9G4,TSB
SPL4,F12,1.196,1.014,P9G4,TSB
SPL5,G3,1.162,0.98,P11A3,TSB
SPL5,G4,1.195,1.013,P11A3,TSB
SPL5,G5,1.322,1.14,P11A3,TSB
SPL5,G6,0.783,0.601,P11A3,TSB
SPL5,G7,1.091,0.909,P11A3,TSB
SPL6,G8,1.195,1.013,P12C2,TSB
SPL6,G9,1.21,1.028,P12C2,TSB
SPL6,G10,1.311,1.129,P12C2,TSB
SPL6,G11,1.443,1.261,P12C2,TSB
SPL6,G12,1.343,1.16,P12C2,TSB
SPLC1,A3,0.301,0.119,P.k_WT,ZmA
SPLC1,A4,0.304,0.122,P.k_WT,ZmA
SPLC1,A5,0.287,0.105,P.k_WT,ZmA
SPLC1,A6,0.283,0.101,P.k_WT,ZmA
SPLC1,A7,0.339,0.157,P.k_WT,ZmA
SPLC2,A8,0.398,0.215,P8G4,ZmA
SPLC2,A9,0.414,0.232,P8G4,ZmA
SPLC2,A10,0.413,0.231,P8G4,ZmA
SPLC2,A11,0.503,0.321,P8G4,ZmA
SPLC2,A12,0.503,0.321,P8G4,ZmA
SPLC3,B3,1.29,1.107,P8A10,ZmA
SPLC3,B4,1.249,1.067,P8A10,ZmA
SPLC3,B5,1.203,1.02,P8A10,ZmA
SPLC3,B6,1.268,1.086,P8A10,ZmA
SPLC3,B7,1.28,1.098,P8A10,ZmA
SPLC4,B8,0.513,0.331,P9G4,ZmA
SPLC4,B9,0.495,0.313,P9G4,ZmA
SPLC4,B10,0.527,0.345,P9G4,ZmA
SPLC4,B11,0.505,0.323,P9G4,ZmA
SPLC4,B12,0.557,0.375,P9G4,ZmA
SPLC5,C3,0.379,0.197,P11A3,ZmA
SPLC5,C4,0.364,0.182,P11A3,ZmA
SPLC5,C5,0.367,0.185,P11A3,ZmA
SPLC5,C6,0.343,0.161,P11A3,ZmA
SPLC5,C7,0.401,0.219,P11A3,ZmA
SPLC6,C8,0.384,0.202,P12C2,ZmA
SPLC6,C9,0.389,0.207,P12C2,ZmA
SPLC6,C10,0.424,0.242,P12C2,ZmA
SPLC6,C11,0.458,0.276,P12C2,ZmA
SPLC6,C12,0.402,0.22,P12C2,ZmA
